"","industry","Rsq","DWH","DWH-p-val","J","J-p-val","a","SE(a)","t(a)","b","SE(b)","t(b)","s","SE(s)","t(s)","h","SE(h)","t(h)","psi.b","SE(psi.b)","t(psi.b)","psi.s","SE(psi.s)","t(psi.s)","psi.h","SE(psi.h)","t(psi.h)"
"32","Telcm","0.640640193770318","1.1383007807248","0.76783708293207","3.66442099670393","0.453321815255024","-0.00158336720513675","0.00160444330105544","-0.986863919775269","0.970874468282491","0.0582466896736223","16.6683201006385","-0.237829258230245","0.10597225573653","-2.24425965624001","0.0144176328227902","0.0774477526655863","0.186159473019759","-0.0381231371429349","0.0756186111465423","-0.50415018954865","0.0853388427360181","0.121421654519042","0.702830504773225","-0.00123458443441356","0.0990932281548671","-0.0124588173924872"
"33","PerSv","0.534584500121472","76.9024035658993","1.41679288123054e-16","4.02089743201042","0.403185077422708","-0.00181117441782919","0.00212229715381749","-0.853402839734919","0.898840019450839","0.0770465267499956","11.6661977816007","-0.213092485829467","0.140176107554134","-1.52017693705165","0.410361305513377","0.102444969506626","4.00567551037082","0.0214677257536009","0.100025450015197","0.21462263604252","0.694571290382905","0.16061199023241","4.32452950354354","-0.275846831245506","0.131076789025401","-2.10446741407475"
"34","BusSv","0.860001049410878","14.557290083148","0.00223685950300184","22.4068922733187","0.000166298240085738","-0.000643411696248463","0.00101697951271449","-0.632669280161887","1.08990659663169","0.0369197777463035","29.520941434725","0.143282681269751","0.0671707207910041","2.13311215932255","0.0733309573777843","0.0490904089380212","1.49379398061988","-0.115652250024021","0.0479310040219986","-2.41289020298722","0.131459842134889","0.0769633523132489","1.70808362920359","-0.260975521955646","0.0628104357542268","-4.15497072774382"
"35","Hardw","0.646489233485338","9.92158692616349","0.0192445710866684","12.9282591362261","0.0116317046968633","0.00205944954915621","0.00251374727176666","0.819274702865744","1.12297926863454","0.0912574829912596","12.3056129955074","0.357337552448563","0.166031089141901","2.15223277938723","-0.703464431583564","0.121340577656754","-5.79743763519496","0.31294892841197","0.118474786450454","2.64148126186195","-0.215835674540196","0.190236297275106","-1.13456620861407","0.260092452482987","0.155253433861444","1.67527664937257"
"36","Softw","0.775644291758054","13.1195794936709","0.00438501625854693","1.99245168614274","0.73714731378225","0.00471530997255505","0.00179206387138142","2.63121758540907","1.14494927498277","0.0650579475902941","17.5989147735362","0.0772373841282434","0.118364451239443","0.652538691469092","-0.564594585968181","0.0865043466356091","-6.52677706874638","0.162679110176462","0.0844613087608732","1.92607849159712","0.0157121112281402","0.135620473546052","0.115853534627313","-0.294510559730476","0.110681003160458","-2.66089528754555"
"37","Chips","0.704837489917468","10.2158810746199","0.0168174503385406","12.5558352948201","0.0136628765698917","0.00384015994332146","0.00232413665523962","1.65229524462947","1.1978609265245","0.0843739797023556","14.1970419168347","0.515493401619175","0.153507452605947","3.35810016300932","-0.670507995689729","0.11218792257577","-5.9766504298792","0.273854568270446","0.109538296472289","2.50008058450795","-0.359419339009469","0.175886874794458","-2.04346878884219","0.12327520510225","0.143542750117282","0.85880481599752"
"38","LabEq","0.761295132477995","6.48051462896553","0.0904341344819472","6.91015017972511","0.140713246257691","0.00268741743337433","0.00163648665865593","1.64218719361974","1.03719530942225","0.0594099713583218","17.4582698107455","0.444325981395522","0.108088695054805","4.1107534989689","-0.497221297626132","0.0789945109912842","-6.29437781671935","0.103457553373339","0.0771288385236188","1.34136018840291","-0.0668988308635717","0.123846643606308","-0.540174759004647","0.22938894195316","0.101072282038208","2.26955340601141"
"39","Paper","0.609752827897904","11.4509377925935","0.00952143823758076","10.0907319067788","0.0389267371954264","-0.00124017606085407","0.00169275497000878","-0.732637672212916","0.925382895076884","0.061452700364496","15.0584577990574","-0.309209147874216","0.111805174083153","-2.76560678349507","0.416484689977424","0.0817106270782151","5.0970688253164","-0.0270386600788599","0.0797808060647992","-0.338911843744706","0.405331545821215","0.128104937718016","3.16405872436727","-0.0859167157800394","0.104547511490759","-0.821795895042741"
"40","Boxes","0.524054338363311","51.2552761989455","4.31624020201208e-11","8.56258620743774","0.0730126817749056","7.75689880386094e-05","0.00216463315712598","0.035834703808011","1.10544300322645","0.0785834661015506","14.0671194344867","-0.553953211169374","0.142972368267441","-3.8745473540255","0.181346102195296","0.104488562016831","1.73555936357977","-0.190342156876379","0.102020777472127","-1.86571952883208","0.722544697200085","0.163815909974578","4.41071137298089","0.00779395023266805","0.133691534733307","0.0582980085329691"
"41","Trans","0.670803032788432","20.9353316093255","0.000108582338630595","1.70359881653123","0.790063790921297","0.000186217848750283","0.00164189003678279","0.113416760305805","0.995762702778345","0.0596061321629681","16.7057090712722","-0.213363666760463","0.108445584056943","-1.96747215311625","0.444013179359974","0.0792553363457559","5.60231272532794","0.0104499124499288","0.0773835037705514","0.13504056989864","0.348124223744269","0.124255562457927","2.80167919132107","-0.121350226099846","0.101406004134326","-1.19667693383422"
"42","Whlsl","0.747491159133205","21.8094882138736","7.1464093076144e-05","6.17273750729554","0.186614177907009","-0.00131492160694732","0.00129368569519687","-1.01641504720141","0.999051920805365","0.0469651430959057","21.2722000817764","0.0810899511587597","0.0854469529985318","0.949009277839937","0.265051726461404","0.0624472361738832","4.24441084507523","-0.166225862124821","0.0609723730758097","-2.72624885238016","0.261018782226263","0.0979040252996713","2.6660679316026","-0.0928922375727128","0.0799002941833475","-1.16260194686584"
"43","Rtail","0.623009074403478","18.6347042799235","0.000325307028366438","7.30399983151793","0.12066915925709","0.00306638204032802","0.00163103660689315","1.8800203670284","0.919762586545337","0.0592121161436669","15.5333510512225","-0.406283291494827","0.107728723294629","-3.77135529940028","0.0224727222762409","0.0787314326633301","0.285435200605815","-0.00822155709799488","0.0768719735133643","-0.106951294759794","0.474673272042603","0.123434192569979","3.84555739507508","-0.131625519966985","0.100735677296594","-1.30664252724924"
"44","Meals","0.563681731880752","86.399939713504","1.29906332444323e-18","3.70963950363508","0.446725465175107","0.00193538207067332","0.00173556733362158","1.11512934887682","0.977080579808172","0.0630069331977216","15.5075089394052","-0.386570548167671","0.114632898031065","-3.37224788701505","0.52872972750787","0.0837772138787161","6.3111400227908","-0.235472150660604","0.0817985847386677","-2.87868245413899","0.465473776763914","0.131344907631766","3.54390425298329","-0.475507286111258","0.107191678045315","-4.43604666688993"
